time,kind,query,d_hits,d_miss,d_evict,total_hits,total_miss,total_evict,elapsed,note
09:46:07,server_start,-,0,0,0,0,0,0,0.0000s,new server session
09:45:30,query,SELECT * FROM users,1,1,0,1,1,0,0.0022s,ok
09:45:17,server_start,-,0,0,0,0,0,0,0.0000s,new server session
09:44:21,query,SELECT * FROM empleados,1,1,0,1,1,0,0.0037s,ok
09:44:18,server_start,-,0,0,0,0,0,0,0.0000s,new server session
09:44:01,reset,-,0,0,0,0,0,0,0.0000s,telemetry reset
09:43:58,query,SELECT * FROM empleados,1,1,0,2,2,0,0.0039s,ok
09:43:14,query,SELECT * FROM users LIMIT 5;,1,1,0,1,1,0,0.0049s,ok
09:43:08,server_start,-,0,0,0,0,0,0,0.0000s,new server session
